cityId,cityName_CN,cityName_EN,Lon,Lat,Regis_pop,Res_pop,GDP,Mob_degree,Pub_degree
150500,通辽,Tongliao,121.567,43.8172,840000.0,868000.0,72968110000.0,169430,98
220500,通化,Tonghua,125.949,41.9562,440000.0,463000.0,23366000000.0,288990,37
450900,玉林,Yulin(GX),110.183,22.4433,1100000.0,1278000.0,43894100000.0,444201,92
610700,汉中,Hanzhong,107.103,33.0888,570000.0,684000.0,25227200000.0,311165,143
620500,天水,Tianshui,105.739,34.6495,1320000.0,1356000.0,34732800000.0,321055,78
441500,汕尾,Shanwei,115.532,23.0173,520000.0,509000.0,21896960000.0,168715,3
140400,长治,Changzhi,112.914,36.4766,740000.0,799000.0,37200970000.0,291640,65
511100,乐山,Leshan,103.567,29.2086,1170000.0,1370000.0,67408600000.0,248449,43
510800,广元,Guangyuan,105.78,32.261,930000.0,1027000.0,30853670000.0,267652,9
520200,六盘水,Liupanshui,104.889,26.136,470000.0,546000.0,42297360000.0,317669,28
431200,怀化,Huaihua,110.074,27.5466,390000.0,853000.0,31773540000.0,857608,82
130900,沧州,Cangzhou,116.745,38.2648,560000.0,715000.0,71043290000.0,595825,82
131100,衡水,Hengshui,115.823,37.7604,950000.0,836000.0,39981170000.0,394054,59
350400,三明,Sanming,117.396,26.3001,280000.0,295000.0,37867550000.0,196158,31
341000,黄山,Huangshan,118.072,29.9073,450000.0,566000.0,26853270000.0,376568,861
421300,随州,Suizhou,113.424,31.8293,530000.0,1857000.0,39309000000.0,250674,8
150700,呼伦贝尔,Hulunbuir,121.196,49.6598,370000.0,359000.0,36895830000.0,255313,20
420800,荆门,Jingmen,112.609,31.0712,600000.0,832000.0,51384000000.0,180457,53
441400,梅州,Meizhou,116.079,24.2021,970000.0,1001000.0,40495700000.0,242622,63
360900,宜春,Yichun(JX),114.972,28.3073,1150000.0,1250000.0,24894440000.0,606929,75
350700,南平,Nanping,118.143,27.3401,860000.0,931000.0,46324970000.0,284919,10
511900,巴中,Bazhong,107.038,32.0165,1360000.0,1487000.0,19575750000.0,212747,3
451300,来宾,Laibin,109.414,23.857,1130000.0,1130000.0,26042420000.0,259744,5
230800,佳木斯,Jiamusi,132.258,47.2677,780000.0,780000.0,43144320000.0,169918,106
140600,朔州,Shuozhou,112.642,39.6179,670000.0,744000.0,45293300000.0,176127,5
